Title,Original Price,Discounted Price,Release Date,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Supported Languages,Popular Tags,Game Features,Minimum Requirements
Grand Theft Auto V,$33.98 ,$25.48 ,"13 Apr, 2015",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_230_150_1,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.",Very Positive,Very Positive,"- 90% of the 22,946 user reviews in the last 30 days are positive.","- 86% of the 1,472,644 user reviews for this game are positive.",Rockstar North,Rockstar Games,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America']","['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Shooter', 'Mature', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Atmospheric', 'Sandbox', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1 | Processor: |  Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz | Memory: |  4 GB RAM | Graphics: |  NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11) | Storage: |  72 GB available space | Sound Card: |  100% DirectX 10 compatible | Additional Notes: |  Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and  | www.rockstargames.com/support |  for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software."
Tom Clancy's Rainbow Six? Siege,$10.99 ,$10.99 ,"1 Dec, 2015",https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1,"Tom Clancy's Rainbow Six? Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",Very Positive,Very Positive,"- 81% of the 11,233 user reviews in the last 30 days are positive.","- 86% of the 985,871 user reviews for this game are positive.",Ubisoft Montreal,Ubisoft,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Simplified Chinese', 'Turkish', 'Thai']","['FPS', 'PvP', 'eSports', 'Multiplayer', 'Shooter', 'Tactical', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'War', 'Realistic', 'Strategy', 'Destruction', 'Co-op', 'First-Person', 'Difficult', '3D']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']","OS: |  Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS | Processor: |  Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHz | Memory: |  6 GB RAM | Graphics: |  NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM) | Network: |  Broadband Internet connection | Storage: |  61 GB available space | Sound Card: |  DirectX? 9.0c compatible sound card with latest drivers | Additional Notes: |  SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website:  | http://support.ubi.com | . Game contains FairFight  | (https://www.gameblocks.com/products) |  and BattleEye  | (https://www.battleye.com/) |  anti-cheat technology."
Dead by Daylight,$12.59 ,$12.59 ,"14 Jun, 2016",https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",Very Positive,Very Positive,"- 82% of the 5,199 user reviews in the last 30 days are positive.","- 80% of the 489,916 user reviews for this game are positive.",Behaviour Interactive Inc.,Behaviour Interactive Inc.,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Thai', 'Traditional Chinese', 'Japanese', 'Korean', 'Polish', 'Spanish - Latin America', 'Turkish']","['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit Operating System | Processor: |  Intel Core i3-4170 or AMD FX-8120 | Memory: |  8 GB RAM | Graphics: |  DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  50 GB available space | Sound Card: |  DX11 compatible | Additional Notes: |  With these requirements, it is recommended that the game is played on Low quality settings."
Team Fortress 2,$10.49 ,$10.49 ,"10 Oct, 2007",https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_1,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",Very Positive,Very Positive,"- 93% of the 13,017 user reviews in the last 30 days are positive.","- 93% of the 979,063 user reviews for this game are positive.",Valve,Valve,"['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']","['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']","['Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']",OS: |  Windows? 7 (32/64-bit)/Vista/XP | Processor: |  1.7 GHz Processor or better | Memory: |  512 MB RAM | DirectX: |  Version 8.1 | Network: |  Broadband Internet connection | Storage: |  15 GB available space
Dota 2,$92.62 ,$41.68 ,"9 Jul, 2013",https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",Mostly Positive,Very Positive,"- 75% of the 20,072 user reviews in the last 30 days are positive.","- 82% of the 2,030,312 user reviews for this game are positive.",Valve,Valve,"['English', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Greek', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'Tower Defense', 'RPG', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']","OS: |  Windows 7 or newer | Processor: |  Dual core from Intel or AMD at 2.8 GHz | Memory: |  4 GB RAM | Graphics: |  NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  60 GB available space | Sound Card: |  DirectX Compatible"
War Thunder,Free,Free,"15 Aug, 2013",https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",Mixed,Mostly Positive,"- 63% of the 7,921 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 75% of the 387,917 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Gaijin Entertainment,Gaijin Distribution KFT,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish', 'Portuguese - Portugal', 'Korean', 'Portuguese - Brazil', 'Hungarian', 'Ukrainian', 'Traditional Chinese', 'Romanian']","['Free to Play', 'Vehicular Combat', 'Combat', 'VR', 'World War II', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Modern', 'Simulation', 'Cold War', 'Massively Multiplayer', 'Action', 'Shooter', 'Third-Person Shooter', 'Third Person', 'Realistic', 'Historical']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",OS: |  Windows 7 SP1/8/10 (64bit) | Processor: |  Dual-Core 2.2 GHz | Memory: |  4 GB RAM | Graphics: |  DirectX 10.1 level video card: AMD Radeon 77XX / NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p. | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  17 GB available space | VR Support: |  SteamVR. Keyboard or gamepad required
FINAL FANTASY XIV Online,$10.49 ,$10.49 ,"18 Feb, 2014",https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_1,Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,Very Positive,Very Positive,- 85% of the 712 user reviews in the last 30 days are positive.,"- 88% of the 62,085 user reviews for this game are positive.",Square Enix,Square Enix,"['English', 'French', 'German', 'Japanese']","['MMORPG', 'RPG', 'Massively Multiplayer', 'Fantasy', 'Character Customization', 'JRPG', 'Great Soundtrack', 'Story Rich', 'Open World', 'Anime', 'Multiplayer', 'Adventure', 'Magic', 'Action', 'Co-op', 'Atmospheric', 'Action RPG', 'Online Co-Op', 'Female Protagonist', 'Singleplayer']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Remote Play on Tablet']","Requires a 64-bit processor and operating system | OS: |  Windows? 10 64 bit, Windows? 11 64 bit | Processor: |  Intel? Core?i5 2.4GHz or higher | Memory: |  4 GB RAM | Graphics: |  1280 x 720: NVIDIA? Geforce? GTX750 or higher, AMD Radeon? R7 260X or higher | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  80 GB available space | Sound Card: |  A sound card which supports DirectSound? | Additional Notes: |  System Requirements may be subject to change. If you are using a router, please set up your ports so that the below packets can pass through. [Ports that may be used] TCPㄩ80, 443, 54992‵54994, 55006‵55007, 55021‵55040"
The Elder Scrolls? Online,$19.99 ,$19.99 ,"22 May, 2017",https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1,"Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.",Mostly Positive,Very Positive,"- 73% of the 1,271 user reviews in the last 30 days are positive.","- 83% of the 113,584 user reviews for this game are positive.",ZeniMax Online Studios,Bethesda Softworks,"['English', 'French', 'German', 'Russian', 'Spanish - Spain', 'Simplified Chinese']","['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy', 'Exploration', 'Multiplayer', 'Singleplayer', 'Massively Multiplayer', 'Action', 'PvP', 'Character Customization', 'PvE', 'Lore-Rich', 'Choose Your Own Adventure', 'Story Rich', 'Action RPG', 'Class-Based', 'Magic', 'Atmospheric']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support']",Requires a 64-bit processor and operating system | OS: |  Windows 7 64-bit | Processor: |  Intel? Core i3 540 or AMD A6-3620 or higher | Memory: |  3 GB RAM | Graphics: |  Direct X 11.0 compliant video card with 1GB RAM (NVidia GeForce 460 or AMD Radeon 6850) | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  95 GB available space | Sound Card: |  DirectX compatible sound card
Warframe,Free,Free,"25 Mar, 2013",https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,Very Positive,Very Positive,"- 84% of the 3,458 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 86% of the 539,603 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Digital Extremes,Digital Extremes,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']","['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Lore-Rich', 'Space', 'Shooter', 'Hack and Slash', 'Ninja', 'Parkour']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","OS: | Windows 7 64-Bit (32-bit not supported) |   | Processor: | Intel Core i7 860, Intel Core i5 750, or AMD FX-4100 (SSE 4.2 support required) |   | Video: | DirectX 11+ capable Graphics Card |   | Memory: | 4 GB RAM |   | Storage: | 50 GB available HD space |   | Internet: | Broadband Internet Connection Required"
BattleBit Remastered,$12.99 ,$12.99 ,"15 Jun, 2023",https://store.steampowered.com/app/671860/BattleBit_Remastered/?snr=1_7_7_230_150_1,"BattleBit Remastered is a low-poly, massive multiplayer FPS, supporting 254 players per server. Battle on a near-fully destructible map with various vehicles!",Very Positive,Very Positive,"- 87% of the 15,985 user reviews in the last 30 days are positive.","- 90% of the 72,918 user reviews for this game are positive.","SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese', 'Belarusian', 'Estonian', 'Macedonian', 'Serbian', 'Slovak']","['FPS', 'Shooter', 'Multiplayer', 'Destruction', 'Military', 'Massively Multiplayer', 'PvP', 'Action', 'War', 'First-Person', 'Tactical', 'Team-Based', 'Combat', 'Class-Based', 'Character Customization', 'Early Access', 'Gun Customization', '3D', 'Indie', 'Voxel']","['MMO', 'Online PvP', 'Partial Controller Support']",Requires a 64-bit processor and operating system | OS: |  Windows 10 (x64) - Windows 11 (x64) | Processor: |  Intel Core i5-2310 | Memory: |  6 GB RAM | Graphics: |  Geforce GTS 450 or equivalent or better | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  2 GB available space
Street Fighter? 6,$59.99 ,$59.99 ,"1 Jun, 2023",https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_230_150_1,"Here comes Capcom＊s newest challenger! Street Fighter? 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter? series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.",Very Positive,Very Positive,"- 84% of the 1,885 user reviews in the last 30 days are positive.","- 88% of the 13,599 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","['2D Fighter', 'Fighting', 'Action', 'Arcade', 'Character Customization', 'Adventure', 'Multiplayer', 'Competitive', 'PvP', 'Open World', 'Action RPG', 'eSports', 'Singleplayer', 'Sandbox', 'Controller', 'Local Multiplayer', '3D', 'Great Soundtrack', 'Anime', 'Third Person']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 (64 bit required) | Processor: |  Intel Core i5-7500 / AMD Ryzen 3 1200 | Memory: |  8 GB RAM | Graphics: |  GTX1060 (VRAM 6GB) / Radeon RX 580 (VRAM 4GB) | DirectX: |  Version 12 | Storage: |  60 GB available space | Additional Notes: |  - The framerate may drop during graphic-intensive scenes.
Phasmophobia,$7.99 ,$7.99 ,"18 Sep, 2020",https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_230_150_1,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it＊s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,Very Positive,Overwhelmingly Positive,"- 90% of the 11,251 user reviews in the last 30 days are positive.","- 96% of the 475,199 user reviews for this game are positive.",Kinetic Games,Kinetic Games,"['English', 'Portuguese - Portugal', 'Spanish - Spain', 'Portuguese - Brazil', 'German', 'French', 'Italian', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Catalan']","['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Demons', 'Mystery', 'Detective', 'Early Access', '3D', 'Thriller', 'Indie', 'Action', 'Tactical', 'Lovecraftian']","['Single-player', 'Online Co-op', 'Full controller support', 'Tracked Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64Bit | Processor: |  Intel Core i5-4590 / AMD Ryzen 5 2600 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GTX 970 / AMD Radeon R9 390 | DirectX: |  Version 11 | Storage: |  21 GB available space | VR Support: |  OpenXR | Additional Notes: |  Minimum Specs are for VR, lower specs may work for Non-VR."
EA SPORTS? FIFA 23,$69.99 ,$17.49 ,"29 Sep, 2022",https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_230_150_1,"FIFA 23 brings The World＊s Game to the pitch, with HyperMotion2 Technology, men＊s and women＊s FIFA World Cup?, women＊s club teams, cross-play features**, and more.",Mixed,Mixed,"- 65% of the 5,860 user reviews in the last 30 days are positive.","- 54% of the 110,345 user reviews for this game are positive.",EA Canada & EA Romania,Electronic Arts,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Turkish']","['Football (Soccer)', 'Sports', 'Controller', 'eSports', 'PvP', 'Management', 'Simulation', 'Team-Based', 'Third Person', 'Realistic', 'Immersive Sim', 'Multiplayer', 'Local Multiplayer', 'Local Co-Op', 'Co-op', 'Online Co-Op', 'Singleplayer', 'PvE', 'Free to Play', 'LGBTQ+']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit | Processor: |  Intel Core i5 6600k or AMD Ryzen 5 1600 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 570 | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  100 GB available space
DAVE THE DIVER,$10.49 ,$10.49 ,"28 Jun, 2023",https://store.steampowered.com/app/1868140/DAVE_THE_DIVER/?snr=1_7_7_230_150_1,"DAVE THE DIVER is a casual, singleplayer adventure RPG featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. Join Dave and his quirky friends as they seek to uncover the secrets of the mysterious Blue Hole.",Overwhelmingly Positive,Overwhelmingly Positive,"- 96% of the 10,147 user reviews in the last 30 days are positive.","- 97% of the 48,657 user reviews for this game are positive.",MINTROCKET,MINTROCKET,"['English', 'Korean', 'Japanese', 'Simplified Chinese', 'German', 'Spanish - Spain', 'Traditional Chinese', 'French', 'Portuguese - Brazil']","['Pixel Graphics', 'Casual', 'Adventure', 'RPG', 'Simulation', 'Management', 'Relaxing', 'Fishing', 'Indie', 'Farming Sim', 'Underwater', 'Exploration', 'Crafting', '2D', 'Roguelite', 'Singleplayer', 'Story Rich', 'Funny', 'Early Access', 'Agriculture']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",OS: |  Windows 7 64 bit | Processor: |  Intel Core i3 Dual Core | Memory: |  8 GB RAM | Graphics: |  NVIDIA Geforce GTS 450 / AMD Radeon HD 5570 | DirectX: |  Version 11 | Storage: |  10 GB available space | Sound Card: |  Windows Compatible Audio Device
Destiny 2,Free,Free,"1 Oct, 2019",https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",Mixed,Very Positive,"- 58% of the 4,907 user reviews in the last 30 days are positive.","- 81% of the 558,640 user reviews for this game are positive.",Bungie,Bungie,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['Free to Play', 'Open World', 'FPS', 'Looter Shooter', 'MMORPG', 'Co-op', 'PvE', 'PvP', 'Multiplayer', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Lore-Rich', 'Adventure', 'Space', 'Competitive', 'Atmospheric']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Requires a 64-bit processor and operating system | OS: |  Windows? 7 / Windows? 8.1 / Windows? 10 64-bit (latest Service Pack) | Processor: |  Intel? Core? i3 3250 3.5 GHz or Intel Pentium G4560 3.5 GHz / AMD FX-4350 4.2 GHz | Memory: |  6 GB RAM | Graphics: |  NVIDIA? GeForce? GTX 660 2GB or GTX 1050 2GB / AMD Radeon HD 7850 2GB | Network: |  Broadband Internet connection | Storage: |  105 GB available space | Additional Notes:
ELDEN RING,$34.99 ,$34.99 ,"24 Feb, 2022",https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_230_150_1,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",Very Positive,Very Positive,"- 93% of the 8,066 user reviews in the last 30 days are positive.","- 92% of the 524,992 user reviews for this game are positive.",FromSoftware Inc.,FromSoftware Inc.,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']","['Souls-like', 'Dark Fantasy', 'RPG', 'Open World', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'PvP', 'Co-op', 'Violent', 'Atmospheric', 'Great Soundtrack', '3D', 'Character Customization', 'Family Friendly']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  INTEL CORE I5-8400 or AMD RYZEN 3 3300X | Memory: |  12 GB RAM | Graphics: |  NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB | DirectX: |  Version 12 | Storage: |  60 GB available space | Sound Card: |  Windows Compatible Audio Device | Additional Notes:
